district_code,lat,lng
KA01,16.18,75.70
KA02,15.14,76.92
KA03,15.85,74.50
KA04,13.22,77.57
KA05,12.97,77.59
KA06,17.91,77.52
KA07,16.83,75.71
KA08,11.92,76.94
KA09,13.43,77.73
KA10,13.32,75.77
KA11,14.23,76.40
KA12,12.87,75.10
KA13,14.47,75.92
KA14,15.46,75.01
KA15,15.43,75.63
KA16,17.33,76.83
KA17,13.00,76.10
KA18,14.80,75.40
KA19,12.42,75.74
KA20,13.14,78.13
KA21,15.35,76.15
KA22,12.52,76.90
KA23,12.30,76.64
KA24,16.21,77.36
KA25,12.72,77.28
KA26,13.93,75.57
KA27,13.34,77.10
KA28,13.34,74.75
KA29,14.80,74.60
KA30,16.77,77.14
KA31,15.27,76.39
