name,kind,weight
Ramesh,first_m,10
Suresh,first_m,10
Manjunath,first_m,10
Basavaraj,first_m,10
Shivakumar,first_m,10
Prakash,first_m,10
Mahesh,first_m,10
Girish,first_m,10
Naveen,first_m,10
Kiran,first_m,10
Santosh,first_m,9
Rajesh,first_m,9
Umesh,first_m,9
Ganesh,first_m,9
Nagaraj,first_m,9
Vinay,first_m,9
Shivanna,first_m,9
Chandrashekar,first_m,9
Anand,first_m,9
Harish,first_m,9
Praveen,first_m,8
Gopal,first_m,8
Ravi,first_m,8
Srinivas,first_m,8
Venkatesh,first_m,8
Krishnappa,first_m,8
Lokesh,first_m,8
Yogesh,first_m,8
Dinesh,first_m,8
Mohan,first_m,8
Arun,first_m,7
Vijay,first_m,7
Ashok,first_m,7
Sunil,first_m,7
Deepak,first_m,7
Sharath,first_m,7
Chetan,first_m,7
Karthik,first_m,7
Nithin,first_m,7
Sandeep,first_m,7
Vishwanath,first_m,6
Siddappa,first_m,6
Mallikarjun,first_m,6
Veeresh,first_m,6
Rudresh,first_m,6
Sadashiv,first_m,6
Channabasappa,first_m,6
Hanumantha,first_m,6
Devaraj,first_m,6
Puttaswamy,first_m,6
Nanjundappa,first_m,5
Thimmappa,first_m,5
Gangadhar,first_m,5
Shankar,first_m,5
Muralidhar,first_m,5
Jagadish,first_m,5
Bhaskar,first_m,5
Somashekar,first_m,5
Eshwar,first_m,5
Chandru,first_m,5
Raghavendra,first_m,4
Ravindra,first_m,4
Sudhir,first_m,4
Madhu,first_m,4
Kumar,first_m,4
Prashanth,first_m,4
Vikram,first_m,4
Abhishek,first_m,4
Rakesh,first_m,4
Rohit,first_m,4
Manoj,first_m,3
Sathish,first_m,3
Guruprasad,first_m,3
Nagendra,first_m,3
Ningappa,first_m,3
Basappa,first_m,3
Mahadev,first_m,3
Revanna,first_m,3
Kempegowda,first_m,3
Doddegowda,first_m,3
Anil,first_m,2
Ajay,first_m,2
Vasanth,first_m,2
Bharath,first_m,2
Jayaram,first_m,2
Keshav,first_m,2
Lakshman,first_m,2
Narayana,first_m,2
Purushotham,first_m,2
Ranganath,first_m,2
Sridhar,first_m,1
Subramanya,first_m,1
Tejas,first_m,1
Uday,first_m,1
Varun,first_m,1
Yashwanth,first_m,1
Balaji,first_m,1
Chidananda,first_m,1
Dayananda,first_m,1
Eranna,first_m,1
Geetha,first_f,10
Lakshmi,first_f,10
Savitha,first_f,10
Roopa,first_f,10
Kavitha,first_f,10
Shobha,first_f,10
Pushpa,first_f,10
Rekha,first_f,10
Sunitha,first_f,9
Vani,first_f,9
Anitha,first_f,9
Bharathi,first_f,9
Chaitra,first_f,9
Deepa,first_f,9
Divya,first_f,9
Gayathri,first_f,9
Hemalatha,first_f,8
Indira,first_f,8
Jayanthi,first_f,8
Kalpana,first_f,8
Latha,first_f,8
Mamatha,first_f,8
Nagaratna,first_f,8
Netravathi,first_f,8
Padma,first_f,7
Rajeshwari,first_f,7
Sandhya,first_f,7
Shwetha,first_f,7
Sowmya,first_f,7
Sujatha,first_f,7
Sumitra,first_f,7
Suma,first_f,7
Triveni,first_f,6
Usha,first_f,6
Vidya,first_f,6
Yashoda,first_f,6
Ambika,first_f,6
Bhagya,first_f,6
Chandrakala,first_f,6
Girija,first_f,6
Jyothi,first_f,5
Kamala,first_f,5
Leelavathi,first_f,5
Manjula,first_f,5
Nandini,first_f,5
Parvathi,first_f,5
Radha,first_f,5
Ratnamma,first_f,5
Shantha,first_f,4
Vasantha,first_f,4
Vinutha,first_f,4
Archana,first_f,4
Asha,first_f,4
Bhavya,first_f,4
Chithra,first_f,4
Harini,first_f,4
Kavya,first_f,3
Keerthi,first_f,3
Meena,first_f,3
Nayana,first_f,3
Nirmala,first_f,3
Pallavi,first_f,3
Poornima,first_f,3
Prema,first_f,3
Rashmi,first_f,2
Renuka,first_f,2
Sarala,first_f,2
Sharada,first_f,2
Shilpa,first_f,2
Shruthi,first_f,2
Sneha,first_f,2
Sowbhagya,first_f,2
Sudha,first_f,1
Swathi,first_f,1
Tejaswini,first_f,1
Uma,first_f,1
Varalakshmi,first_f,1
Veena,first_f,1
Vijayalakshmi,first_f,1
Yamuna,first_f,1
Gowda,surname,10
Shetty,surname,10
Rao,surname,10
Hegde,surname,10
Bhat,surname,10
Naik,surname,10
Reddy,surname,10
Patil,surname,10
Kulkarni,surname,10
Desai,surname,9
Kamath,surname,9
Pai,surname,9
Nayak,surname,9
Acharya,surname,9
Prabhu,surname,9
Shenoy,surname,9
Murthy,surname,9
Iyer,surname,9
Sharma,surname,8
Joshi,surname,8
Deshpande,surname,8
Kittur,surname,8
Angadi,surname,8
Biradar,surname,8
Hiremath,surname,8
Mathad,surname,8
Doddamani,surname,8
Talwar,surname,7
Chikkanna,surname,7
Byrappa,surname,7
Lingappa,surname,7
Mallappa,surname,7
Siddaiah,surname,7
Nanjappa,surname,7
Rangaswamy,surname,7
Venkatappa,surname,7
Krishnamurthy,surname,6
Subbaiah,surname,6
Chandrappa,surname,6
Halappa,surname,6
