district_code,year,population,literacy_rate,urban_ratio,poverty_index,marginal_worker_rate,youth_ratio
KA01,2011,1889752,58.918,0.33803,0.13149,0.17318,0.59449
KA02,2011,2452595,57.964,0.40398,0.10679,0.13206,0.6063
KA03,2011,4779661,63.855,0.27006,0.14422,0.17627,0.55848
KA04,2011,990923,69.506,0.29225,0.11533,0.152,0.54067
KA05,2011,9621551,78.078,0.90802,0.03866,0.0915,0.54832
KA06,2011,1703300,61.215,0.26263,0.154,0.21469,0.59778
KA07,2011,2177331,57.33,0.24842,0.15214,0.1807,0.59489
KA08,2011,1020791,55.377,0.17882,0.16597,0.20819,0.50847
KA09,2011,1255104,62.403,0.22956,0.138,0.16289,0.53099
KA10,2011,1137961,71.913,0.20581,0.11974,0.1512,0.4965
KA11,2011,1659456,65.527,0.21827,0.15375,0.22077,0.53706
KA12,2011,2089649,79.742,0.48805,0.08588,0.08344,0.5132
KA13,2011,1945497,67.26,0.33166,0.13259,0.19436,0.54923
KA14,2011,1847023,70.474,0.58662,0.08213,0.11962,0.55112
KA15,2011,1064570,65.771,0.38328,0.12831,0.14579,0.56509
KA16,2011,2566326,55.619,0.33217,0.1415,0.22335,0.61205
KA17,2011,1776421,68.973,0.21126,0.14218,0.16733,0.49388
KA18,2011,1597668,67.939,0.23814,0.15759,0.17548,0.56611
KA19,2011,554519,74.457,0.14928,0.12314,0.07236,0.49938
KA20,2011,1536401,66.143,0.31625,0.14075,0.18566,0.54771
KA21,2011,1389920,58.211,0.19156,0.16781,0.22401,0.61545
KA22,2011,1805769,63.665,0.18395,0.15525,0.1796,0.49968
KA23,2011,3001127,65.381,0.41302,0.10711,0.17665,0.52651
KA24,2011,1928812,50.797,0.2751,0.16392,0.1964,0.62042
KA25,2011,1082636,62.325,0.24115,0.11512,0.13664,0.51641
KA26,2011,1752753,72.059,0.36394,0.10773,0.16373,0.52098
KA27,2011,2678980,67.69,0.23005,0.15073,0.2039,0.50447
KA28,2011,1177361,78.687,0.29988,0.09952,0.10481,0.47527
KA29,2011,1437169,75.28,0.29594,0.10589,0.18113,0.51649
KA30,2011,1174271,43.431,0.20992,0.14221,0.20167,0.62886
