name,kind,weight
Ramesh,first_m,9
Suresh,first_m,8
Manjunath,first_m,9
Ravi,first_m,7
Kumar,first_m,8
Prakash,first_m,6
Shivakumar,first_m,7
Nagaraj,first_m,7
Basavaraj,first_m,6
Mahesh,first_m,6
Girish,first_m,5
Santosh,first_m,6
Vinay,first_m,5
Kiran,first_m,5
Prasad,first_m,5
Anand,first_m,5
Naveen,first_m,5
Vijay,first_m,5
Umesh,first_m,4
Ganesh,first_m,5
Chandru,first_m,4
Lokesh,first_m,4
Harish,first_m,4
Srinivas,first_m,5
Venkatesh,first_m,5
Lakshmi,first_f,8
Geetha,first_f,6
Sushma,first_f,4
Roopa,first_f,4
Divya,first_f,5
Ananya,first_f,4
Kavya,first_f,5
Nagaratna,first_f,3
Shobha,first_f,4
Manjula,first_f,5
Rekha,first_f,4
Sunitha,first_f,4
Vidya,first_f,4
Bhavya,first_f,3
Deepa,first_f,4
Gowda,surname,10
Reddy,surname,7
Rao,surname,6
Shetty,surname,6
Hegde,surname,5
Naik,surname,5
Patil,surname,7
Kulkarni,surname,5
Deshpande,surname,4
Bhat,surname,5
Nayak,surname,4
Setty,surname,3
Achar,surname,3
Prabhu,surname,3
Kamath,surname,4
Shenoy,surname,3
Murthy,surname,5
Rai,surname,4
Ballal,surname,2
Poojary,surname,3
